"date","value","volume"
"2011-02-14","3120","1038"
"2011-02-15","3200","130"
"2011-02-16","3200","1880"
"2011-02-17","3305","1329"
"2011-02-18","3800","677"
"2011-02-21","4334","2218"
"2011-02-22","4984","3290"
"2011-02-23","5700","3241"
"2011-02-24","5900","5860"
"2011-02-25","5799","542"
"2011-02-28","5300","390"
"2011-03-01","4750","11970"
"2011-03-02","4250","3768"
"2011-03-03","4200","2395"
"2011-03-09","4200","2004"
"2011-03-10","4100","12061"
"2011-03-14","4200","50"
"2011-03-15","4300","70"
"2011-03-16","4250","33"
"2011-03-17","4250","30"
"2011-03-18","4000","2100"
"2011-03-21","4000","1420"
"2011-03-22","4000","245"
"2011-03-23","4000","26332"
"2011-03-24","3700","100"
"2011-03-25","3800","1000"
"2011-03-29","4000","686"
"2011-03-30","4000","20128"
"2011-03-31","4000","1000"
"2011-04-01","4000","1000"
"2011-04-06","4200","15"
"2011-04-08","4100","218"
"2011-04-11","4100","1940"
"2011-04-15","4000","2622"
"2011-04-22","4000","2000"
"2011-04-25","4050","90"
"2011-04-26","4100","176"
"2011-04-27","4000","1876"
"2011-05-02","4100","163"
"2011-05-03","4150","1191"
"2011-05-04","4150","48"
"2011-05-09","4000","1010"
"2011-05-10","4000","435"
"2011-05-11","4000","2293"
"2011-05-12","4000","7000"
"2011-05-16","4000","1000"
"2011-05-17","4160","200"
"2011-05-20","4000","2550"
"2011-05-24","4000","10"
"2011-05-27","4000","700"
"2011-05-31","4000","6760"
"2011-06-02","4000","10"
"2011-06-03","4000","7730"
"2011-06-07","4000","215"
"2011-06-10","4100","100"
"2011-06-16","4000","4400"
"2011-06-20","4000","9"
"2011-06-21","3900","290430"
"2011-06-23","3900","46800"
"2011-06-30","4100","92"
"2011-07-07","4100","1000"
"2011-07-08","4200","500"
"2011-07-20","4200","1600"
"2011-07-21","4000","1420"
"2011-07-22","4000","670"
"2011-07-25","4100","800"
"2011-07-28","4000","30"
"2011-07-29","4000","1980"
"2011-08-01","4100","1300"
"2011-08-02","4050","274"
"2011-08-03","4050","373"
"2011-08-09","4050","125"
"2011-08-09","4000","3950"
"2011-08-12","4010","2145"
"2011-08-12","4000","340"
"2011-08-17","4100","200"
"2011-08-18","4001","7096"
"2011-08-19","4100","15"
"2011-08-24","4001","1270"
"2011-08-25","4000","400"
"2011-08-26","4000","1822"
"2011-08-29","4000","608"
"2011-08-30","4000","1515"
"2011-08-31","4000","1214"
"2011-09-01","4000","969"
"2011-09-02","4000","1127"
"2011-09-05","4000","500"
"2011-09-08","4000","500"
"2011-09-09","4001","1700"
"2011-09-12","4600","1432"
"2011-09-13","4399","10"
"2011-09-19","4000","3161"
"2011-09-21","4000","1750"
"2011-09-22","4050","60"
"2011-09-23","4000","332"
"2011-09-26","4000","10"
"2011-09-27","4000","10"
"2011-10-04","4000","150"
"2011-10-05","4000","10"
"2011-10-11","3950","10"
"2011-10-12","3950","40"
"2011-10-13","3900","23"
"2011-10-14","3950","100"
"2011-10-17","3900","56"
"2011-10-20","3900","160"
"2011-10-25","3900","270"
"2011-11-02","3950","1500"
"2011-11-03","3950","10"
"2011-11-03","3950","10"
"2011-11-04","4000","1063"
"2011-11-07","3901","1025"
"2011-11-08","3950","100"
"2011-11-09","3900","2530"
"2011-11-10","3750","1563"
"2011-11-15","3700","800"
"2011-11-18","3701","4"
"2011-11-21","3700","115"
"2011-11-21","3700","115"
"2011-11-21","3700","115"
"2011-11-21","3700","115"
"2011-11-22","3900","10"
"2011-11-23","3700","21814"
"2011-11-24","3700","11221"
"2011-11-29","3939","1709"
"2011-11-30","3950","740"
"2011-12-01","3700","3510"
"2011-12-07","3700","87"
"2011-12-08","3700","198"
"2011-12-13","3850","145"
"2011-12-14","3700","20"
"2011-12-16","3700","230"
"2011-12-22","3600","440"
"2011-12-23","3600","12"
"2011-12-26","3600","370"
"2011-12-27","3500","20"
"2011-12-28","3500","20"
"2012-01-03","3500","100"
"2012-01-06","3500","310"
"2012-01-11","3500","113"
"2012-01-12","3500","1"
"2012-01-13","3500","5745"
"2012-01-18","3300","83"
"2012-01-19","3790","185"
"2012-01-20","3500","21"
"2012-04-03","3500","2630"
"2012-04-04","3550","50500"
"2012-04-10","3550","120"
"2012-04-11","3550","345"
"2012-04-13","3694","500"
"2012-04-16","3695","504"
"2012-04-18","3800","879"
"2012-04-19","3550","460"
"2012-04-27","3700","6750"
"2012-04-30","3750","2913"
"2012-05-01","3800","2417"
"2012-05-02","3650","4"
