"date","value","volume"
"2018-10-25","1630","1830"
"2018-10-29","1611","356"
"2018-11-01","1601","1005"
"2018-11-02","1600","995"
"2018-11-05","1600","1000"
"2018-11-06","1680","400"
"2018-11-07","1585","20"
"2018-11-13","1422","3000"
"2018-11-14","1440","3858"
"2018-11-15","1380","1410"
"2018-11-16","1385","3300"
"2018-11-19","1450","1000"
"2018-11-20","1450","800"
"2018-11-21","1334","5152"
"2018-11-27","1530","3997"
"2018-11-28","1607","8942"
"2018-11-29","1669","6519"
"2018-11-30","1783","26428"
"2018-12-03","1796","9072"
"2018-12-03","1796","9072"
"2018-12-04","1550","1002"
"2018-12-05","1779","12226"
"2018-12-06","1792","15619"
"2018-12-07","1778","7744"
"2018-12-10","1733","1763"
"2018-12-11","1894","5847"
"2018-12-12","1708","8010"
"2018-12-13","1830","12"
"2018-12-14","1751","5101"
"2018-12-17","1707","13302"
"2018-12-18","1890","1102"
"2018-12-19","1898","1510"
"2018-12-20","1940","14616"
"2018-12-21","1991","5244"
"2018-12-24","1923","2100"
"2018-12-25","1987","3890"
"2018-12-26","1927","1500"
"2018-12-27","1960","7788"
"2018-12-28","2042","11061"
"2018-12-31","2341","10554"
"2019-01-02","2250","2024"
"2019-01-03","2200","3725"
"2019-01-04","2199","198"
"2019-01-07","2200","547"
"2019-01-08","2100","70"
"2019-01-09","2190","1"
"2019-01-11","2170","240"
"2019-01-18","1910","1240"
"2019-01-21","1900","632"
"2019-01-23","2000","5"
"2019-01-25","1900","182"
"2019-01-28","1900","10"
"2019-01-29","1700","220"
"2019-01-30","1740","1005"
"2019-01-31","1850","50"
"2019-02-01","1700","687"
"2019-02-02","1700","1000"
"2019-02-15","1790","10"
"2019-02-18","1790","40"
"2019-02-19","1790","640"
"2019-02-20","1800","260"
"2019-02-21","1800","400"
"2019-02-26","1850","36"
"2019-02-28","1700","830"
"2019-03-01","1660","941"
"2019-03-06","1800","1100"
"2019-03-07","1800","1"
"2019-03-11","1850","1605"
"2019-03-12","1840","25"
"2019-03-14","1699","174"
"2019-03-15","1699","9"
"2019-03-18","1699","10"
"2019-03-19","1699","21"
"2019-03-20","1502","1113"
"2019-03-21","1559","2077"
"2019-03-22","1699","165"
"2019-03-25","1531","241"
"2019-03-26","1685","30"
"2019-03-27","1682","2"
"2019-03-28","1804","4055"
"2019-03-29","1978","42833"
"2019-04-01","1887","413"
"2019-04-02","1850","100"
"2019-04-03","1998","49"
"2019-04-04","1800","195"
"2019-04-05","1820","408"
"2019-04-08","1849","1200"
"2019-04-09","1844","96"
"2019-04-10","1749","1048"
"2019-04-12","1839","5"
"2019-04-15","1845","261"
"2019-04-16","1845","1365"
"2019-04-18","1980","1625"
"2019-04-19","1973","899"
"2019-04-22","1939","1"
"2019-04-23","1938","479"
"2019-04-24","1909","4457"
"2019-04-25","1920","8616"
"2019-04-26","1947","9404"
"2019-04-29","1907","557"
"2019-04-30","1999","4467"
"2019-05-01","2000","6"
"2019-05-02","2000","4"
"2019-05-03","1911","140"
"2019-05-06","1900","1185"
"2019-05-08","1905","639"
"2019-05-09","1907","3000"
"2019-05-10","2058","600"
"2019-05-14","2065","15"
"2019-05-15","1911","6259"
"2019-08-08","2033","69625"
"2019-08-09","1945","32829"
"2019-08-12","1930","10053"
"2019-08-13","1857","2631"
"2019-08-14","1710","4139"
"2019-08-15","1600","5935"
"2019-08-16","1499","19265"
"2019-08-19","1372","18881"
"2019-08-20","1398","30273"
"2019-08-21","1395","3908"
"2019-08-22","1355","97472"
"2019-08-23","1352","3703"
"2019-08-26","1299","4935"
"2019-08-27","1299","9202"
"2019-08-28","1298","2218"
"2019-08-29","1268","13084"
"2019-08-30","1294","8662"
"2019-09-02","1382","10041"
"2019-09-04","1496","11424"
"2019-09-05","1557","7691"
"2019-09-06","1498","11129"
"2019-09-07","1499","3096"
"2019-09-07","1499","3096"
"2019-09-09","1499","4272"
"2019-09-10","1448","6798"
"2019-09-11","1468","3875"
"2019-09-12","1408","3793"
"2019-09-13","1447","3808"
"2019-09-16","1438","2972"
