"date","value","volume"
"2023-10-11","867.2","18769"
"2023-10-12","897.55","8049"
"2023-10-13","900","7086"
"2023-10-16","915.9","4716"
"2023-10-17","910.1","6944"
"2023-10-18","901.38","33782"
"2023-10-19","901.97","11926"
"2023-10-20","900.55","8045"
"2023-10-23","900.11","2845"
"2023-10-24","900.44","5481"
"2023-10-25","891.55","9358"
"2023-10-26","900","6462"
"2023-10-27","895.06","1587"
"2023-10-30","896.97","10028"
"2023-10-31","897.99","7862"
"2023-11-01","895.45","8360"
"2023-11-02","896.28","1720"
"2023-11-03","897.73","7348"
"2023-11-06","894.27","2342"
"2023-11-07","894.04","3566"
"2023-11-08","894","17345"
"2023-11-09","888.96","5555"
"2023-11-10","882.55","3260"
"2023-11-13","890.02","9186"
"2023-11-15","882","12745"
"2023-11-16","875.17","9740"
"2023-11-17","875.14","6280"
"2023-11-20","866.24","7899"
"2023-11-21","865.36","19475"
"2023-11-22","861.16","5253"
"2023-11-23","863","6966"
"2023-11-24","862.53","25627"
"2023-11-27","850.84","3947"
"2023-11-28","851.54","4314"
"2023-11-29","849.92","21343"
"2023-11-30","849.95","23446"
"2023-12-01","850","7498"
"2023-12-04","849.12","10858"
"2023-12-05","844.01","9243"
"2023-12-06","844","3905"
"2023-12-07","842.3","7989"
"2023-12-08","840.02","29828"
"2023-12-11","835.54","6300"
"2023-12-12","839.64","13851"
"2023-12-13","826.44","9600"
"2023-12-14","839.67","2037"
"2023-12-15","839.9","1373"
"2023-12-18","839.99","64461"
"2023-12-19","840","26093"
"2023-12-20","839.43","2706"
"2023-12-21","841.26","16030"
"2023-12-22","840.75","373911"
"2023-12-25","844.72","32503"
"2023-12-26","867.52","24053"
"2023-12-27","904.44","51612"
"2023-12-28","906.74","14920"
"2024-01-02","910","12647"
"2024-01-03","912.46","10222"
"2024-01-04","890.63","8672"
"2024-01-05","883.05","5254"
"2024-01-08","880.26","10839"
"2024-01-09","877.5","21002"
"2024-01-10","876","8524"
"2024-01-11","874","6828"
"2024-01-12","858","18739"
"2024-01-15","859.56","174271"
"2024-01-16","896.22","9603"
"2024-01-17","900.65","15202"
"2024-01-18","902.49","11227"
"2024-01-19","903.22","8236"
"2024-01-22","887.27","26847"
"2024-01-23","891.62","10762"
"2024-01-24","894.9","1720"
"2024-01-25","882.07","4780"
"2024-01-26","895","4098"
"2024-01-29","886.65","5780"
"2024-01-30","885.09","3228"
"2024-01-31","886.12","5225"
"2024-02-01","885.92","4876"
"2024-02-02","902.25","3046"
"2024-02-05","892.14","3122"
"2024-02-06","897.43","14545"
"2024-02-07","896.11","25268"
"2024-02-08","895.2","28268"
"2024-02-09","914.68","1624"
"2024-02-13","912.42","7500"
"2024-02-14","912.81","3965"
"2024-02-15","923.16","9515"
"2024-02-16","974.41","27177"
"2024-02-19","956.44","26486"
"2024-02-20","988.46","49587"
"2024-02-21","986.26","17915"
"2024-02-22","995.04","26585"
"2024-02-23","994.8","8726"
"2024-02-26","980.55","33868"
"2024-02-27","988.94","7330"
"2024-02-28","975.29","5643"
"2024-02-29","948.44","3397"
"2024-03-01","968.85","1537"
"2024-03-04","934.04","8028"
"2024-03-05","933.7","10391"
"2024-03-06","929.81","12624"
"2024-03-07","933.11","13840"
"2024-03-11","915.49","27386"
"2024-03-12","918.28","19038"
"2024-03-13","935.31","4904"
"2024-03-14","933.59","6013"
"2024-03-15","943.72","5210"
"2024-03-18","944.87","42676"
"2024-03-19","946.02","6013"
"2024-03-20","965.5","27462"
"2024-03-21","970.91","37081"
"2024-03-22","916.5","147250"
"2024-03-25","905.44","14467"
"2024-03-26","894.08","23419"
"2024-03-27","887.38","17830"
"2024-03-28","879.91","35592"
"2024-03-29","881.96","51100"
"2024-04-01","875.62","8682"
"2024-04-02","864.73","14981"
"2024-04-03","857.9","18405"
"2024-04-04","859.24","20832"
"2024-04-05","859.42","11405"
"2024-04-08","860.21","26593"
"2024-04-09","860","23076"
"2024-04-10","846.88","16976"
"2024-04-11","857.6","10928"
"2024-04-12","936.38","97933"
"2024-04-15","927.83","14794"
"2024-04-16","925.11","9711"
"2024-04-17","921.59","4387"
"2024-04-18","915.1","4218"
"2024-04-19","914.39","5869"
"2024-04-22","917.99","8917"
"2024-04-23","921.58","17255"
"2024-04-24","911.21","70530"
"2024-04-25","927.81","17750"
"2024-04-26","925.64","38845"
"2024-04-29","923.11","74004"
"2024-04-30","898.19","29292"
"2024-05-01","901.13","17555"
"2024-05-02","913.44","57195"
"2024-05-03","908.77","18147"
"2024-05-06","909.3","12236"
"2024-05-07","908.72","25291"
"2024-05-08","912.53","37753"
"2024-05-09","914.73","13487"
"2024-05-10","920","7485"
"2024-05-13","919.97","33009"
"2024-05-14","919.56","20709"
"2024-05-15","915.53","16017"
"2024-05-16","920.73","9607"
"2024-05-17","921.93","5737"
"2024-05-20","921.57","48503"
"2024-05-21","921.93","23265"
"2024-05-22","923.99","6260"
"2024-05-24","925.38","35284"
"2024-05-27","921.07","6320"
"2024-05-28","923.58","2579"
"2024-05-29","919.97","7919"
"2024-05-30","915.99","8953"
"2024-05-31","919.99","3035"
"2024-06-03","920","4914"
"2024-06-04","921.09","14692"
"2024-06-05","926.67","14410"
"2024-06-06","920.64","25583"
"2024-06-07","927.97","5748"
"2024-06-10","925","13959"
"2024-06-11","920.47","63433"
"2024-06-12","915.37","5217"
"2024-06-13","909.86","141062"
"2024-06-14","914.86","2545"
"2024-06-17","917.15","48679"
"2024-06-18","925","2782"
"2024-06-19","930.41","7458"
"2024-06-20","965.75","108346"
"2024-06-21","961.99","1610"
"2024-06-24","958.3","3831"
"2024-06-25","950.01","7641"
"2024-06-26","950","4020"
"2024-06-27","952.89","43587"
"2024-07-01","941.29","9074"
"2024-07-02","954.81","8123"
"2024-07-03","950.03","3977"
"2024-07-04","959.46","17332"
"2024-07-05","963.43","18235"
"2024-07-08","963.73","32959"
"2024-07-09","964.24","17661"
"2024-07-16","963.78","13726"
"2024-07-17","963.38","7086"
