"date","value","volume"
"2019-06-10","1682","9712"
"2019-06-11","1709","15600"
"2019-06-12","1750","38919"
"2019-06-13","1815","12234"
"2019-06-14","1832","15904"
"2019-06-17","1825","25"
"2019-06-18","1794","8668"
"2019-06-19","1804","17690"
"2019-06-20","1826","12768"
"2019-06-21","1810","13472"
"2019-06-24","1811","16678"
"2019-06-25","1813","2562"
"2019-06-26","1815","7560"
"2019-06-27","1824","1022"
"2019-06-28","1802","2893"
"2019-07-01","1824","1215"
"2019-07-02","1812","376"
"2019-07-03","1819","202"
"2019-07-04","1806","21739"
"2019-07-05","1777","701"
"2019-07-08","1800","128"
"2019-07-09","1813","10"
"2019-07-10","1799","50"
"2019-07-16","1700","13290"
"2019-07-17","1754","1014"
"2019-07-18","1763","403"
"2019-07-19","1764","6230"
"2019-07-22","1775","1446"
"2019-07-23","1801","120"
"2019-07-24","1805","3558"
"2019-07-25","1813","1616"
"2019-07-26","1816","3233"
"2019-07-29","1825","9153"
"2019-07-30","1829","1447"
"2019-07-31","1820","1350"
"2019-08-01","1825","3714"
"2019-08-02","1830","1465"
"2019-08-05","1866","2970"
"2019-08-06","1869","3552"
"2019-08-07","1876","5264"
"2019-08-08","1888","3843"
"2019-08-09","1891","2750"
"2019-08-12","1902","2138"
"2019-08-13","1913","3520"
"2019-08-14","1926","10055"
"2019-08-15","1920","105"
"2019-08-16","1900","450"
"2019-08-19","1873","7215"
"2019-08-20","1900","100"
"2019-08-21","1901","1389"
"2019-08-22","1907","710"
"2019-08-23","1909","1695"
"2019-08-26","1910","101"
"2019-08-27","1910","2649"
"2019-08-28","1915","1246"
"2019-08-29","1916","480"
"2019-08-30","1920","2055"
"2019-09-02","1925","2182"
"2019-09-04","1890","2101"
"2019-09-05","1850","851"
"2019-09-06","1850","154"
"2019-09-07","1920","57783"
"2019-09-07","1920","57783"
"2019-09-09","1925","600"
"2019-09-10","1994","3358"
"2019-09-11","1990","621"
"2019-09-12","1995","1821"
"2019-09-13","1995","15"
"2019-09-16","2000","1435"
"2019-09-17","1999","252"
"2019-09-18","1998","110"
"2019-09-19","1999","240"
"2019-09-20","2000","3116"
"2019-09-23","2000","704"
"2019-09-24","1998","450"
"2019-09-25","1999","4330"
"2019-09-26","2000","1267"
"2019-09-27","1998","28012"
"2019-09-30","1853","14645"
"2019-10-01","1995","440"
"2019-10-02","1995","240"
"2019-10-03","1998","6420"
"2019-10-04","1994","413"
"2019-10-07","1998","100"
"2019-10-08","1998","1782"
"2019-10-09","2002","10175"
"2019-10-10","2008","25228"
"2019-10-11","2017","1434"
"2019-10-14","2020","250"
"2019-10-15","2048","410"
"2019-10-16","2048","8327"
"2019-10-17","2043","414"
"2019-10-18","2043","11"
"2019-10-21","1958","5071"
"2019-10-22","1981","24859"
"2019-10-23","2000","3210"
"2019-10-24","1998","17870"
"2019-10-25","1999","1040"
"2019-10-28","2015","7550"
"2019-10-29","2043","370"
"2019-10-30","2045","1255"
"2019-10-31","2047","550"
"2019-11-01","2097","1486"
"2019-11-04","2069","1260"
"2019-11-05","2087","1542"
"2019-11-06","2050","321"
"2019-11-07","2079","5935"
"2019-11-08","2081","65"
"2019-11-11","2077","885"
"2019-11-12","2100","650"
"2019-11-13","2101","395"
"2019-11-14","2102","5002"
"2019-11-15","2109","1432"
"2019-11-18","2054","100"
"2019-11-19","2088","707"
"2019-11-20","2114","1340"
"2019-11-21","2185","165"
"2019-11-22","2150","95"
"2019-11-25","2150","202"
"2019-11-28","2150","330"
"2019-11-29","2148","70"
"2019-12-02","2150","3540"
"2019-12-03","2158","4318"
"2019-12-04","2162","102691"
"2019-12-05","2165","2770"
"2019-12-06","2167","1413"
"2019-12-09","2169","55"
"2019-12-10","2180","60"
"2019-12-11","2169","220"
"2019-12-12","2170","159"
"2019-12-13","2172","86"
"2019-12-16","2174","20"
"2019-12-17","2159","1155"
"2019-12-18","2192","3100"
"2019-12-19","2178","220"
"2019-12-20","2179","75"
"2019-12-23","2183","830"
"2019-12-24","2185","5258"
"2019-12-25","2187","111"
"2019-12-26","2189","270"
"2019-12-27","2472","12311"
"2019-12-30","2220","3517"
"2019-12-31","2198","898"
"2020-01-02","2200","401"
"2020-01-03","2201","30"
"2020-01-06","2204","610"
"2020-01-07","2273","1550"
"2020-01-08","2400","701"
"2020-01-09","2491","2783"
"2020-01-10","2584","12355"
"2020-01-13","2594","5840"
"2020-01-14","2535","3120"
"2020-01-15","2682","2640"
"2020-01-16","2643","150"
"2020-01-17","2652","1698"
"2020-01-20","2652","773"
"2020-01-21","2660","269"
"2020-01-22","2664","756"
"2020-01-23","2666","913"
"2020-01-24","2667","60"
"2020-01-27","2664","2302"
"2020-01-28","2602","3441"
"2020-01-29","2669","150"
"2020-01-30","2658","182"
"2020-01-31","2656","25"
"2020-02-03","2651","1030"
"2020-02-04","2655","50"
"2020-02-05","2660","394"
"2020-02-06","2602","1595"
"2020-02-07","2582","2592"
"2020-02-10","2648","30"
"2020-02-11","2612","147"
"2020-02-12","2648","1090"
"2020-02-13","2643","2763"
"2020-02-14","2650","70"
"2020-02-17","2668","130"
"2020-02-18","2651","1535"
"2020-02-19","2659","851"
"2020-02-20","2612","80"
"2020-02-21","2652","1146"
"2020-02-27","2656","120"
"2020-02-28","2660","3850"
"2020-03-02","2663","14"
"2020-03-03","2660","40"
"2020-03-04","2633","2012"
"2020-03-05","2659","832"
"2020-03-06","2585","84940"
"2020-03-09","2587","4320"
"2020-03-10","2553","58080"
